UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type
1,L00001,L,295.12427659301875,304.2000543996798,1679.3141734622204,27.97925003629343,104.00412293687155,0,No Failure
2,H00002,H,295.8496277965377,305.26061581624856,1540.1516764410478,34.029367495690806,145.3727223566566,0,No Failure
3,M00003,M,298.87763782052747,307.3298979944348,1656.2080075426127,21.53708723024042,1.4200376731950324,0,No Failure
4,L00004,L,295.752253347388,304.4183751036816,1356.9329535211696,39.433885498488785,44.822193339724585,0,No Failure
5,L00005,L,300.3252686104066,310.9768339934492,1564.5091569971069,46.02357331864215,158.92274916178252,1,Heat Dissipation Failure
6,L00006,L,297.9577594183394,308.1551824782485,1413.4221069160637,26.736173074436827,55.89301876733727,0,No Failure
7,L00007,L,298.2711894078891,309.0085691692748,1319.9870040034336,40.33969209811078,48.68046374783724,0,No Failure
8,M00008,M,297.5432540647842,307.86427564933547,1384.403357461867,32.147619279081106,326.94506149409506,1,Tool Wear Failure
9,M00009,M,299.6456956770875,310.70220357880885,1441.1752574445884,46.83794432858146,86.85220775468551,0,No Failure
10,M00010,M,299.66631977555403,310.98364077278654,1761.9737286953766,17.095361299749936,23.090661589050548,0,No Failure
11,L00011,L,298.77010870382435,306.1575337740252,1436.430386370966,47.26753181504851,69.02154962445616,0,No Failure
12,H00012,H,299.2295782118153,307.94811373619376,1310.8128331251146,22.04696672339339,78.9701212741286,1,Random Failure
13,M00013,M,297.67582066015916,307.32875672392413,1562.3739018536526,38.07689474815277,484.46164295066194,0,No Failure
14,L00014,L,299.18440601381815,309.15038972558716,1544.032092459507,33.102086378667494,136.79571797323132,0,No Failure
15,L00015,L,297.4242444490524,306.4191085883254,1450.5748949465715,36.57379181971565,79.13423399596591,0,No Failure
16,L00016,L,298.10446324432485,309.4724987508073,1509.8926325737896,24.921974154928982,61.08670021257774,0,No Failure
17,L00017,L,297.5507125012674,310.5206350537033,1713.837516519185,56.72157227592241,266.8619570725802,0,No Failure
